Gene	Time
CXCL1	8
CYP2E1	8
UPF3	8
S6k1	8
adenosine deaminase	8
amyloid-beta	8
SOX3	8
eIF4G	8
Praja-1	8
ATase2	8
estrogen receptor beta	8
PKD2	8
SCA21	8
Munc18-1	8
5-HT) transporter	8
Snord115	8
Sema4D	8
hCRT-1	8
MAST1	8
LMX1B	8
RyR	8
MC4R	8
Fgf14	8
UBE2H	8
OMgp	8
KALRN	8
Fragile X	7
interferon (IFN)-gamma	7
JNK1	7
GABRG1	7
ZEB1	7
NRG-1	7
Nrg1	7
EphB6	7
foxp2	7
eotaxin	7
ATF6	7
CXCR6	7
CRMP1	7
GAP	7
Kit	7
MCP-1	7
RXFP3	7
UPB1	7
hMNS	7
XBP1	7
Progranulin	7
DNRX	7
RBFOX3	7
Wave 2	7
CB2	7
THBS1	7
Kcc2	7
NLG-1	7
CaV2.2	7
IL-7	7
Corticotropin-releasing hormone	7
cannabinoid receptor 1	7
CTRL	7
SOX6	7
CABIN1	7
5-HT1B receptor	7
DHFR	7
Nr4a1	7
ROBO2	7
neuroligin1	7
PLP	7
PIK3CD	7
Vasoactive intestinal peptide	7
HEPACAM	7
HuR	7
Kv1.2	7
JAK	7
Cdh9	7
GCase	7
B2AR	7
MacroD2	7
Kv4	7
GlialCAM	7
tap	7
NFIA	7
Grin2a	7
NRX	7
LRRN3	7
HNRNP	7
RNU6	7
MNK	7
miR-592	7
CRF2 receptor	7
steroid sulfatase	7
MIG	7
occludin	7
BTN	7
MHC	7
En1/2	7
NR1D1	7
CTLA-4	7
SRPX2	7
Na(v)1.2	7
EGR1	7
alpha-tubulin	7
miR-34a	7
NR4A2	7
IRE1	7
glutathione reductase	7
Sema 3F	7
tea	7
FOS	7
amyloid-beta precursor protein	7
NaPB	7
xCT	7
Neuroligin-4	7
COUP-TFI	7
NOVA2	7
beta-amyloid precursor protein	7
PTPA	7
aryl hydrocarbon receptor	7
Gpr17	7
ZMYM2	7
LIN28A	7
ADNP2	7
cholinesterase	7
SYP	7
NGL-2	7
Methyl CpG binding protein 2	7
A 20	7
RanBP9	7
ngn-1	7
CK-BB	7
SCN10A	7
Snord116	7
NEUROG2	7
Cadps2	7
TRRAP	7
Avpr1b	7
ascl1b	7
CELF4	7
SLC7A5	7
trkB	7
unk	7
CGN	7
PLS3	7
NPN2	7
SPEN	7
DNlg2	7
PERK	7
ren	7
Cd157	7
LRRC2	7
ATRNL1	7
STG	7
PLCgamma1	7
CTGF	7
contactin associated protein-like 2	7
LILACS	7
NOTCH2NL	7
Rab27a	7
DYNC1H1	7
Hap1	7
D2 receptor	7
DmGluRA	7
JARID1C	7
5-HT1AR	7
5-HT(1B	7
ALS-18	7
SLC33A1	7
PSD-93	7
Spry3	7
HTR1B	7
interleukin-8	7
SLC	7
FACE	7
CLSTN1	7
MDC	7
Adgrb1	7
Rbfox2	7
ADRB2	7
shank3a	7
NRF2	7
LQT3	7
PRKAR2A-AS1	7
ZO-1	7
JAKMIP1	7
nde1	7
vasopressin V1a receptor	7
CAP	7
EMC1	7
KLF7	7
TNIP2	7
SUMO1	7
TS2	7
RIMS1	7
myosin XVI	7
Cav3	7
ZSWIM6	7
Asic3	7
granulocyte-colony stimulating factor	7
SLC7A3	7
A2bp1	7
PECAM-1	7
Tlr4	7
dFmr1	7
Nrcam	7
MAPK7	7
ABC-C	7
eEF1A2	7
COH1	7
TRAF2	7
FZD3	7
TBC1D7	7
DNM	7
Inv	7
KCNK9	7
ZNF764	7
Engrailed 2	7
KCNMA1	7
Caspr	7
KCNJ2	7
Kir	7
CFI	7
MDR1	7
miR155	7
Cacna1a	7
LEPR	7
KAT8	7
PHR	7
TUBB2A	7
FBLIM1	7
PDE4B	7
ANXA1	7
nrxn2aa	7
Contactin 4	7
neurofibromatosis 1	7
IHH	7
NHE7	7
RIPK1	7
Slitrk2	7
paraoxonase-1	7
sEH	7
MKL1	7
DAN	7
DIAPH1	7
Foxc1	7
protein kinase B	7
CYP1A2	7
OTUD7A	7
DLGAP1	7
IgE	7
IL-31	7
NSF	7
TRIM17	7
PSMD12	7
NEK8	7
Goa	7
bid	7
ARRB2	7
ENO2	7
Lhx6	7
ZMYND11	7
Necdin	7
Zfrp8	7
GLT-1	7
CNOT3	7
p110delta	7
PTDSS1	7
CLEC7A	7
Pianp	7
YWHAG	7
pLI	7
H2A.z	7
CASP	7
Crbn	7
AAP	7
ASPM	7
hook 1	7
Sam's	7
Cc2d1b	7
neuroligin 4	7
WT1	7
IFI16	7
CD5	7
Numbl	7
SNTG2	7
CHRM3	7
metabotropic glutamate receptor-5	7
PN	7
SCD	7
IGF2	7
Oxytocin Receptor	7
Methyl-CpG-binding protein 2	7
BDK	7
LASP1	7
ELAVL2	7
Caspase-3	7
TBK1	7
choline acetyltransferase	7
ephrin-A2	7
RALGAPB	7
EXT2	7
N-methyl-D-aspartate receptor	7
Mdm2	7
DNlg4	7
chromodomain helicase DNA binding protein 8	7
Wnt5a	7
Rbm8a	7
PPP1R1B	7
DRD5	7
CDH10	7
PPARalpha	7
miR-708	7
apolipoprotein B	6
BET	6
Nrxn2	6
S100A9	6
OTX1	6
Rab39b	6
Sema3B	6
HSP-60	6
AHDC1	6
Neuropilin-2	6
Pcdh15	6
CCR4	6
cofilin	6
p75 neurotrophin receptor	6
CRN	6
IRAP	6
Prnp	6
Fast	6
Dystrophin	6
del15q11.2	6
GcMAF	6
neurotactin	6
glyoxalase I	6
Otx2	6
Dip2a	6
Arhgef10	6
Metabotropic glutamate receptor 5	6
SMC5	6
glutamine synthetase	6
Snap25	6
miR-1290	6
Shrub	6
Gabra5	6
ApoA-I	6
Cbln1	6
Slc6a8	6
Dlgap1	6
neuregulin 1	6
ARSA	6
clock	6
PITX3	6
Tsp	6
dnlg4	6
NEURL4	6
ERF	6
FBXO11	6
NMDAR1	6
ADAR2	6
gastrin-releasing peptide receptor	6
TCN2	6
ApoA1	6
fragile X mental retardation 1 protein	6
PCSK9	6
H2A.Z	6
Metabotropic Glutamate Receptor 5	6
DNMT	6
RPP25	6
Lp-PLA2	6
VGluT1	6
IL-1R1	6
Dnmt3b	6
Zbtb16	6
MBD4	6
MAG	6
Dab1	6
SYNE2	6
SALM3	6
PTB	6
acetylserotonin O-methyltransferase	6
Baf53b	6
Kvbeta2	6
RoR	6
CG	6
Pcdh9	6
HIF-2alpha	6
Rab11	6
neurotrophic factor	6
DAGLA	6
MEGF10	6
ChAT	6
eEF2	6
CYFIP1/2	6
TREM2	6
Tkv	6
PlexinA2	6
TDP-43	6
CACNA1G	6
APR	6
cyclin D1	6
LRP1	6
VSP-A	6
Brain Derived Neurotrophic Factor	6
TNF-beta	6
IL-2R	6
Mint2	6
IkappaBalpha	6
TST	6
Transcription factor 4	6
ADM	6
ABCA13	6
ego	6
Panx1	6
IFNG-AS1	6
RP11	6
PTCH1	6
beta-CD	6
rhodopsin	6
SH2D6	6
immunoglobulin A	6
postsynaptic density protein 95	6
Chd5	6
protocadherin 19	6
SAA	6
HRR 1	6
HRD1	6
IP3R	6
GSTA1	6
KI	6
D1 receptor	6
PTPRT	6
HNRNPH1	6
dmGluRA	6
GTF2i	6
Erk1/2	6
kalirin	6
CDK13	6
VP	6
ACTB	6
flot-1	6
Calmodulin	6
PTPRZ1	6
citrate synthase	6
BHLHA9	6
CNTNAP3	6
synaptosomal-associated protein 25	6
CTR	6
beacon	6
ASIC3	6
Macf1	6
SLC6A2	6
EEL-1	6
GAT2	6
PCDHA	6
IGF-II	6
Gprasp2	6
EAAT2	6
S-SCAM	6
Dlx1/2	6
DOCK1	6
neuropilin-2	6
HTR2B	6
edn	6
TXNIP	6
ULK1	6
MMP	6
Cacna2d3	6
IFNG	6
TALS	6
HTR7	6
Lis1	6
ABC-2	6
5-HT2C	6
IFNAR1	6
GHSR	6
BAMBI	6
PDE-4	6
translocator protein	6
RYR1	6
Il6	6
tumor necrosis factor	6
VCX-A	6
histamine H3 receptor	6
BMPR2	6
TXNL4A	6
CD1	6
P-selectin	6
homer 1	6
Lim	6
NR3C2	6
miR132	6
ROBO	6
IL-21R	6
Raptor	6
serum response factor	6
Creb	6
PTPN4	6
LTP	6
CBS	6
GPC5	6
ephrinB1	6
glycogen synthase kinase-3	6
AP1S2	6
NL4	6
hFMR1	6
CACNA1I	6
BLOC-1	6
MT-1	6
CCR7	6
TDO2	6
HTR5A	6
IGF-1R	6
alpha5	6
Adenylosuccinate lyase	6
Ca(2+)-dependent activator protein for secretion 2	6
CHAMP1	6
Cadherin-13	6
Drp1	6
CD11c	6
HCFC1	6
GNAI1	6
Dlg4	6
PIGA	6
TMEM187	6
Minibrain	6
RAB39b	6
catechol-O-methyltransferase	6
GNB1L	6
FASN	6
rpl10	6
PLA2G4C	6
Vcp	6
mIA	6
Iba-1	6
Dhh	6
ZNF81	6
CaMKIV	6
Autism Diagnostic Interview-Revised (ADI-R	6
mSRS	6
CXCR7	6
NRC	6
GPRASP2	6
Crkl	6
wnt1	6
ITGAV	6
apolipoprotein A1	6
Vitamin D receptor	6
Tspyl2	6
Mart	6
Smo	6
Ascl1	6
5-HT(1A) receptor	6
FosB	6
CYP11A1	6
DMT	6
MyD88	6
5'-nucleotidase	6
Nestin	6
FOX1	6
Tspo	6
Mupp1	6
FABP4	6
NAc	6
CNKSR2	6
PM1	6
Dlk1	6
Sema3A	6
PKR	6
tissue plasminogen activator	6
Maged1	6
NLG3	6
XRCC6	6
ERKs	6
ABRA	6
CASP-C	6
VIb	6
klotho	6
RFP	6
ADA1	6
ASXL1	6
Ctnnb1	6
BRPF1	6
DHCR7	6
Cox10	6
caspase 3	6
vGluT1	6
TET3	6
C-Raf	6
LRP2	6
TS	6
PCSK6	6
PCDH10	6
KIF22	6
MYO16	6
SRD5A2	6
glutathione-s-transferase	6
DPP-IV	6
Macrophage migration inhibitory factor	6
Arp2/3	6
synapsin 1	6
KEAP1	6
SCN1B	6
MYCBP2	6
ICAM-1	6
KDM6A	6
WAGR	6
Dscaml1	6
GAT1	6
FMR-1	6
plasminogen activator inhibitor-1	6
alpha7nAChR	6
hSERT	6
neurexin-3	6
DFak	6
GCP II	6
Memo1	6
Slc25a12	6
B3GALNT2	6
PAH	6
nSR100	6
TGF beta 1	6
CTRP1	6
Ric8a	6
creatine transporter	6
MAGE-G1	6
SAPAP4	6
ALR	6
Cat	6
RPA1	6
SOX11	6
MPnRAGE	6
Neuroligin-1	6
FGF14	6
TRIP8b	6
NOX-2	6
Rac	6
Sox2	6
COL18A1	6
GluD2	6
SPTBN1	6
neuropilin 2	6
MT-2	6
TOP3B	6
STMN1	6
RBFOX2	6
PAX5	6
SPL	6
PDF	6
spinophilin	6
GABARAP	6
CADPS	6
CEP41	6
BCL-2	6
Factor 2	6
TBCD	6
